"ctuid","area_km"
"x",0
5350294.02,1.03
5350295.00,1.08
5350296.00,4.64
5350297.01,1.14
5350297.02,1.51
5350298.00,2.27
5350299.01,2.89
5350299.02,0.16
5350300.00,1.03
5350301.01,0.90
5350301.03,0.27
5350301.04,1.43
5350302.01,1.23
5350302.02,1.08
5350302.03,0.69
5350303.00,1.06
5350304.01,0.25
5350304.02,1.21
5350304.03,0.97
5350304.04,0.23
5350304.05,0.70
5350304.06,0.75
5350305.01,2.42
5350305.03,0.71
5350305.04,1.00
5350306.01,1.17
5350306.02,1.12
5350307.03,0.11
5350307.04,0.15
5350307.05,0.10
5350307.06,0.10
5350307.07,1.22
5350308.02,1.42
5350308.03,0.40
5350308.04,1.09
5350309.00,0.74
5350310.01,1.42
5350310.02,2.14
5350311.02,0.89
5350311.03,0.80
5350311.04,0.96
5350311.05,0.35
5350311.06,10.23
5350312.02,0.52
5350312.03,1.49
5350312.04,0.73
5350312.05,0.35
5350312.06,0.46
5350312.07,0.62
5350313.00,2.86
5350314.01,0.43
5350314.02,1.07
5350315.01,1.47
5350315.02,0.43
5350315.03,6.01
5350316.01,1.77
5350316.03,0.40
5350316.04,0.47
5350316.05,0.41
5350316.06,0.41
5350317.02,0.43
5350317.03,1.19
5350317.04,0.72
5350317.05,0.50
5350318.00,1.91
5350319.00,1.20
5350320.01,0.74
5350320.02,0.85
5350321.01,1.26
5350321.02,1.22
5350322.01,0.21
5350322.02,1.41
5350323.01,1.03
5350323.02,1.85
5350324.01,1.18
5350324.02,1.89
5350324.03,2.17
5350324.05,0.66
5350324.06,0.66
5350330.00,2.19
5350331.01,1.52
5350331.03,0.51
5350331.04,1.06
5350332.00,1.53
5350333.00,2.40
5350334.00,2.38
5350335.00,2.23
5350336.00,1.63
5350337.01,0.20
5350337.02,0.62
5350338.00,1.65
5350339.00,1.82
5350340.00,1.28
5350341.02,0.78
5350341.03,0.41
5350341.04,0.67
5350342.00,1.23
5350343.00,1.10
5350344.01,1.06
5350344.02,0.22
5350345.00,0.79
5350346.01,1.52
5350346.02,0.40
5350347.00,1.50
5350348.00,2.32
5350349.00,0.88
5350350.00,3.36
5350351.01,0.97
5350351.02,0.57
5350352.00,1.13
5350353.02,1.21
5350353.03,0.41
5350353.04,0.63
5350354.00,1.33
5350355.02,1.11
5350355.04,0.58
5350355.05,0.31
5350355.06,0.19
5350356.00,1.55
5350357.01,1.05
5350357.02,1.11
5350358.01,1.11
5350358.02,0.62
5350358.03,1.10
5350359.00,2.24
5350360.00,4.52
5350361.01,2.93
5350361.02,2.46
5350362.01,2.48
5350362.02,1.94
5350362.03,3.26
5350362.04,1.35
5350363.02,1.20
5350363.04,1.13
5350363.05,0.50
5350363.06,0.83
5350363.07,2.28
5350364.01,2.91
5350364.02,0.74
5350365.00,1.57
5350366.00,1.44
5350367.01,0.71
5350367.02,1.03
5350368.01,0.89
5350368.02,1.57
5350369.00,2.47
5350370.01,1.77
5350370.02,2.27
5350370.03,0.86
5350371.00,3.72
5350372.00,1.33
5350373.00,0.96
5350374.01,1.19
5350374.02,0.80
5350374.03,0.81
5350375.01,0.95
5350375.02,0.61
5350375.03,0.81
5350375.04,0.92
5350375.05,1.13
5350376.01,1.05
5350376.02,0.85
5350376.04,1.19
5350376.05,1.29
5350376.06,2.19
5350376.08,0.88
5350376.09,0.80
5350376.11,0.47
5350376.12,0.91
5350376.13,0.51
5350376.14,0.74
5350376.15,0.92
5350376.16,0.27
5350377.01,2.06
5350377.02,1.91
5350377.03,0.65
5350377.04,0.88
5350377.06,0.51
5350377.07,0.76
5350378.02,1.06
5350378.03,2.21
5350378.04,1.28
5350378.05,0.73
5350378.06,1.79
5350378.07,2.80
5350378.08,0.89
5350378.11,0.96
5350378.12,0.78
5350378.14,0.93
5350378.16,0.63
5350378.17,0.47
5350378.18,0.09
5350378.19,4.50
5350378.2,0.11
5350378.21,0.70
5350378.22,0.53
5350378.23,1.53
5350378.24,2.53
5350378.25,4.77
5350378.26,1.63
5350378.27,20.00
5350378.28,2.22
5350400.02,1.67
5350400.03,0.80
5350400.04,3.29
5350400.06,0.94
5350400.07,1.57
5350400.08,1.75
5350400.11,1.67
5350400.12,1.73
5350400.13,1.28
5350400.14,1.05
5350400.15,2.14
5350400.16,2.22
5350400.17,0.60
5350400.18,0.30
5350400.19,2.49
5350400.2,5.24
5350400.21,3.53
5350400.22,14.80
5350400.23,4.27
5350401.04,0.74
5350401.05,8.21
5350401.06,1.76
5350401.07,1.75
5350401.08,1.44
5350401.09,2.21
5350401.1,4.05
5350401.11,1.12
5350401.13,0.99
5350401.14,2.35
5350401.15,1.11
5350401.17,1.11
5350401.18,6.16
5350401.19,1.67
5350401.2,0.63
5350401.21,0.47
5350401.22,2.22
5350401.23,1.76
5350402.01,1.97
5350402.02,1.71
5350402.03,1.54
5350402.04,2.84
5350402.05,1.42
5350402.06,1.80
5350402.07,1.29
5350402.08,1.81
5350402.09,1.56
5350402.1,1.03
5350402.12,4.21
5350402.13,3.17
5350403.01,4.13
5350403.04,2.09
5350403.05,4.13
5350403.07,2.33
5350403.09,0.85
5350403.1,1.19
5350403.11,2.09
5350403.12,2.50
5350403.13,1.56
5350403.14,2.20
5350403.15,13.78
5350403.16,60.07
5350410.02,0.80
5350410.03,1.88
5350410.04,0.78
5350410.05,4.39
5350410.07,0.88
5350410.09,1.24
5350410.1,0.51
5350410.11,0.79
5350410.12,0.88
5350410.13,3.51
5350410.14,1.16
5350410.15,0.76
5350411.01,1.86
5350411.04,1.49
5350411.07,1.75
5350411.08,29.65
5350411.09,1.40
5350411.12,1.29
5350411.15,1.41
5350411.16,35.82
5350411.17,4.12
5350411.18,2.85
5350411.19,4.20
5350411.21,2.16
5350411.22,1.35
5350411.23,1.13
5350411.24,1.17
5350411.25,0.94
5350411.26,1.02
5350411.27,1.14
5350411.28,0.92
5350411.29,1.99
5350411.3,1.61
5350412.01,4.35
5350412.02,6.11
5350412.04,7.01
5350412.06,1.05
5350412.08,0.93
5350412.1,1.96
5350412.11,26.99
5350412.12,1.03
5350412.13,2.57
5350412.14,2.19
5350412.15,4.49
5350412.18,6.77
5350412.19,2.83
5350412.2,1.29
5350412.21,3.92
5350412.22,2.06
5350412.24,1.90
5350412.25,1.58
5350412.26,0.81
5350413.01,70.39
5350413.02,6.47
5350420.03,2.29
5350420.05,4.40
5350420.06,1.67
5350420.08,0.87
5350420.09,0.58
5350420.1,3.28
5350420.11,2.78
5350420.13,1.88
5350420.14,0.93
5350420.15,0.93
5350421.01,4.44
5350421.04,0.70
5350421.05,1.02
5350421.06,1.06
5350421.07,1.56
5350422.02,1.87
5350422.03,3.60
5350422.04,0.86
5350422.05,1.57
5350422.06,1.84
5350423.01,1.74
5350423.02,2.65
5350424.04,1.37
5350424.05,2.27
5350424.07,2.07
5350424.08,2.33
5350424.09,2.13
5350424.1,2.75
5350424.11,4.22
5350424.13,26.00
5350424.14,4.95
5350424.15,6.92
5350424.16,3.59
5350430.03,3.16
5350430.05,2.15
5350430.06,1.90
5350430.07,9.58
5350430.08,6.71
5350431.01,48.88
5350431.02,133.85
5350440.00,22.41
5350441.02,1.55
5350441.03,3.04
5350441.04,4.57
5350442.02,1.60
5350442.03,4.01
5350442.04,1.48
5350442.05,3.53
5350442.06,7.65
5350450.02,1.44
5350450.03,5.09
5350450.05,2.98
5350450.06,3.35
5350451.01,1.03
5350451.02,1.99
5350451.03,2.52
5350451.05,2.55
5350451.06,1.93
5350451.07,3.50
5350452.01,1.42
5350452.02,1.44
5350452.03,3.74
5350452.05,2.33
5350452.06,1.18
5350452.07,1.97
5350455.00,127.15
5350456.01,61.81
5350456.02,18.27
5350456.03,37.82
5350460.01,25.93
5350460.02,113.60
5350461.01,16.51
5350461.02,177.20
5350470.00,33.85
5350471.00,171.16
5350472.00,10.18
5350473.01,3.80
5350473.02,3.18
