"","ctuid","bg_mean","bg_median","bg_scale"
"303","5350248.05",3,3,1.0226838536932
"304","5350249.01",2,2,-0.0308068896952942
"305","5350249.03",2,2,-1.68231354611298
"306","5350249.04",2,2,1.29367463322141
"307","5350249.05",2,2,-0.388968459092524
"308","5350250.01",3,3,-1.32971015049802
"309","5350250.02",3,3,-0.825357231263127
"310","5350250.04",2,2,2.96786618028206
"311","5350250.05",2,2,2.7928292525171
"312","5350260.01",1,1,-0.704055103474798
"313","5350260.04",1,1,-1.15122685707205
"314","5350260.05",2,2,-4.54770245363498
"315","5350260.06",1,1,-1.19876833758922
"316","5350260.07",1,1,0.211193137496526
"317","5350261.00",2,2,1.55290982829669
"318","5350262.01",4,4,2.59728392537317
"319","5350262.02",2,2,-3.35892359954411
"320","5350263.02",3,3,-0.0209761725454063
"321","5350263.03",3,3,-1.2744072327987
"322","5350263.04",3,3,-1.19848272858847
"323","5350264.00",3,3,1.30683035387291
"324","5350265.00",4,4,-1.2893635915877
"325","5350266.00",2,2,0.91569503783272
"326","5350267.00",3,3,-1.36407905498366
"327","5350268.00",3,3,-0.429684444148729
"328","5350269.01",3,3,-5.26462586198365
"329","5350269.02",2,2,-0.555010747702362
"330","5350270.01",3,3,-0.566745580479421
"331","5350270.02",2,2,-2.87835909250094
"332","5350271.01",1,1,-1.78490150031543
"333","5350271.02",2,2,-3.30545616342601
"334","5350272.01",3,3,-3.19137169673049
"335","5350272.02",2,2,-2.40701060707092
"336","5350273.01",3,3,-3.02856726381584
"337","5350273.02",2,2,-0.842558626413139
"338","5350274.01",2,2,-1.17753860805651
"339","5350274.02",4,4,4.20861092615926
"340","5350275.00",3,2,-0.8913019799466
"341","5350276.01",3,3,2.12992000054943
"342","5350276.02",1,1,2.12770565162673
"343","5350277.00",4,4,1.99706481186216
"344","5350278.00",3,2,2.18554431046929
"345","5350279.01",3,3,3.24830351097419
"346","5350279.02",3,3,5.32412278231717
"347","5350280.00",2,2,0.273807202598726
"348","5350281.01",1,1,1.27803421616102
"349","5350281.02",1,1,0.000275903709656883
"350","5350282.00",3,3,1.52174718037736
"351","5350283.01",1,1,1.17284954602714
"352","5350283.02",1,1,1.40841131827758
"353","5350284.00",0,0,1.22853081813237
"354","5350285.00",1,0,-0.882884200607371
"355","5350286.00",1,1,5.07407639514332
"356","5350287.02",3,3,-1.56598012774327
"357","5350287.03",1,0,-0.391741149823339
"358","5350287.04",0,0,2.00445344493191
"359","5350288.00",1,1,6.15243434655431
"360","5350289.00",2,2,5.49245910791759
"361","5350290.01",1,1,-0.303608179038528
"362","5350290.02",0,0,0.516841192696327
"363","5350291.02",4,4,3.58306091861306
"364","5350291.03",4,4,1.20844194507857
"365","5350291.04",4,4,1.15086723232295
