,ctuid,pop_elderly_prop,pop_child_prop,pop_immig,pop_nodegree,pop_unemployed,inc_lico_p,inc_total30p,dw_majorrep,dw_lone_prop,dw_no_car,Ai_jobs_transit,Ai_activities_transit,Ai_jobs_auto,Ai_activities_auto,Ai_jobs_ratio,Ai_activities_ratio,Ai_combine,SESi,pop,mean_nonworktrip_time_adult,mean_commute_time_adult,R_trips_per_day,R_activities_per_day
250,5350213.02,,,,,,,,,,,,,,,,,,,,,,,
251,5350214.00,,,,,,,,,,,,,,,,,,,,,,,
252,5350215.00,,,,,,,,,,,,,,,,,,,,,,,
253,5350216.00,,,,,,,,,,,,,,,,,,,,,,,
254,5350217.00,,,,,,,,,,,,,,,,,,,,,,,
255,5350218.00,,,,,,,,,,,,,,,,,,,,,,,
256,5350219.00,,,,,,,,,,,,,,,,,,,,,,,
257,5350220.00,,,,,,,,,,,,,,,,,,,,,,,
258,5350221.01,,,,,,,,,,,,,,,,,,,,,,,
259,5350221.02,,,,,,,,,,,,,,,,,,,,,,,
260,5350222.01,,,,,,,,,,,,,,,,,,,,,,,
261,5350222.02,,,,,,,,,,,,,,,,,,,,,,,
262,5350223.01,,,,,,,,,,,,,,,,,,,,,,,
263,5350223.02,,,,,,,,,,,,,,,,,,,,,,,
264,5350224.00,,,,,,,,,,,,,,,,,,,,,,,
265,5350225.01,,,,,,,,,,,,,,,,,,,,,,,
266,5350225.02,,,,,,,,,,,,,,,,,,,,,,,
267,5350226.00,,,,,,,,,,,,,,,,,,,,,,,
268,5350227.00,,,,,,,,,,,,,,,,,,,,,,,
269,5350228.00,,,,,,,,,,,,,,,,,,,,,,,
270,5350229.00,,,,,,,,,,,,,,,,,,,,,,,
271,5350230.01,,,,,,,,,,,,,,,,,,,,,,,
272,5350230.02,,,,,,,,,,,,,,,,,,,,,,,
273,5350231.00,,,,,,,,,,,,,,,,,,,,,,,
274,5350232.00,,,,,,,,,,,,,,,,,,,,,,,
275,5350233.00,,,,,,,,,,,,,,,,,,,,,,,
276,5350234.00,,,,,,,,,,,,,,,,,,,,,,,
277,5350235.01,,,,,,,,,,,,,,,,,,,,,,,
278,5350235.02,,,,,,,,,,,,,,,,,,,,,,,
279,5350236.01,,,,,,,,,,,,,,,,,,,,,,,
280,5350236.02,,,,,,,,,,,,,,,,,,,,,,,
281,5350237.01,,,,,,,,,,,,,,,,,,,,,,,
282,5350237.02,,,,,,,,,,,,,,,,,,,,,,,
283,5350237.03,,,,,,,,,,,,,,,,,,,,,,,
284,5350238.01,,,,,,,,,,,,,,,,,,,,,,,
285,5350238.02,,,,,,,,,,,,,,,,,,,,,,,
286,5350239.00,,,,,,,,,,,,,,,,,,,,,,,
287,5350240.01,,,,,,,,,,,,,,,,,,,,,,,
288,5350240.02,,,,,,,,,,,,,,,,,,,,,,,
289,5350241.00,,,,,,,,,,,,,,,,,,,,,,,
290,5350242.00,,,,,,,,,,,,,,,,,,,,,,,
291,5350243.01,,,,,,,,,,,,,,,,,,,,,,,
292,5350243.02,,,,,,,,,,,,,,,,,,,,,,,
