,ct_year,SESi
177,1991_5350076.00,-1.4388533956017735
178,1991_5350077.00,-0.9548708816793722
179,1991_5350078.00,-0.4097139126195011
180,1991_5350079.00,-0.3613775165546893
181,1991_5350080.01,-2.104403800022419
182,1991_5350080.02,-2.104403800022419
183,1991_5350081.00,-0.825761593344006
184,1991_5350082.00,-0.3614260990301711
185,1991_5350083.00,-1.226696441276307
186,1991_5350084.00,0.3812730645732875
187,1991_5350085.00,-0.3299072358513238
188,1991_5350086.00,3.0736586710506866
189,1991_5350087.00,3.0025966629240246
190,1991_5350088.00,1.565192278120392
191,1991_5350089.00,2.00758713138533
192,1991_5350090.00,1.8830735984368367
193,1991_5350091.01,0.2972471042785298
194,1991_5350091.02,-1.0700624614091203
195,1991_5350092.00,-1.4466141210061247
196,1991_5350093.00,-1.0731815689599546
197,1991_5350094.00,-2.0296862399136666
198,1991_5350095.00,-2.6415051352002017
199,1991_5350096.01,-1.717948337544496
200,1991_5350096.02,-1.717948337544496
201,1991_5350097.01,-4.125721600473702
202,1991_5350097.03,-3.1466876618432575
203,1991_5350097.04,-3.1466876618432575
204,1991_5350098.00,-3.5234961282714967
205,1991_5350099.00,-1.3370644050905158
206,1991_5350100.00,-2.5952313306251615
207,1991_5350101.00,-1.8064827931352774
208,1991_5350102.02,-1.2251306898212877
209,1991_5350102.03,-1.2251306898212824
210,1991_5350102.04,-1.2251306898212824
211,1991_5350102.05,-1.2251306898212857
212,1991_5350103.00,0.8548868494409287
213,1991_5350104.00,1.036766848007994
214,1991_5350105.00,-0.6310887649511414
215,1991_5350106.00,-3.3374753765722804
216,1991_5350107.00,-2.992213305086553
217,1991_5350108.00,-2.97424893479791
218,1991_5350109.00,-3.0873948711581796
219,1991_5350110.00,-2.4079044123454794
220,1991_5350111.00,-1.5724576308945033
221,1991_5350112.00,-2.339083810569938
222,1991_5350113.00,-1.884031587366408
223,1991_5350114.00,-1.5612047712405883
224,1991_5350115.00,-1.7341975986960894
225,1991_5350116.00,-0.5740429503541755
226,1991_5350117.00,0.9968543568966246
227,1991_5350118.00,1.0397713772262727
228,1991_5350119.00,2.5771985663108614
229,1991_5350120.00,2.0065328895088936
230,1991_5350121.00,2.4967108307339023
231,1991_5350122.00,1.6998899873878288
232,1991_5350123.00,-1.0909616087213447
233,1991_5350124.00,2.023561983416348
234,1991_5350125.00,3.3017170389166868
235,1991_5350126.00,1.4249470138823825
236,1991_5350127.00,1.1479212699544705
237,1991_5350128.02,1.0785751485975374
238,1991_5350128.04,-0.3562011078167657
239,1991_5350128.05,-0.3562011078167657
240,1991_5350128.06,-0.3562011078167657
241,1991_5350129.00,1.4388950870184545
242,1991_5350130.00,2.9745798051072785
243,1991_5350131.00,2.549201154243935
